,edad_rango,genero,lugar,arma,presunta_motivacion,fecha_muerte
216,18–29,f,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
217,18–29,f,VÍA PÚBLICA,OTROS,DELINCUENCIA COMUN,2025-01-06
218,45–64,f,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
219,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
220,18–29,m,MERCADOS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
221,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
222,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
223,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
224,30–44,m,CASA/VILLA,ARMA DE FUEGO,TRANSNACIONAL,2025-01-10
225,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
226,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
227,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
228,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
229,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
230,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
231,12–17,f,TERRENO BALDIO,ARMA BLANCA,DELINCUENCIA COMUN,2025-01-05
232,,m,TERRENO BALDIO,ARMA BLANCA,DELINCUENCIA COMUN,2025-01-05
233,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
234,30–44,m,OTROS CENTROS DE DIVERSIÓN,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
235,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-09
236,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
237,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
